Driver,Sebastian Chudek,,,,,,SPEED,
Vehicle,mx5 mx52016,,,,,,THROTTLE,
Venue,okayama full,,,,,,BRAKING,
Session,Test,,,,,,RPM,
Session Date,18/03/2022,,,,,,GEAR,
Session Time,23:18:32,,,,,,TIME,
Sample Rate,60,Hz,,,,,,
,,,,,,,,
,,,,,,,,
,Lap No.,Brake,Gear,RPM,Speed,Throttle,LapDist,SessionTick
,,%,,rpm,m/s,%,m,
,,,,,,,,
,1,0,1,6640.22,25.0325,100,60.1245,40144
,1,0,1,6661.1,25.0879,100,60.5387,40145
,1,0,1,6680.36,25.1431,100,60.9539,40146
,1,0,1,6697.6,25.1989,100,61.3701,40147
,1,0,1,6712.35,25.2555,100,61.7872,40148
,1,0,1,6723.88,25.3134,100,62.2053,40149
,1,0,1,6732.61,25.3715,100,62.6244,40150
,1,0,1,6741.78,25.429,100,63.0445,40151
,1,0,1,6755.97,25.4858,100,63.4656,40152
,1,0,1,6773.93,25.5416,100,63.8877,40153
,1,0,1,6793.3,25.5971,100,64.3107,40154
,1,0,1,6811.38,25.6526,100,64.7347,40155
,1,0,1,6827.3,25.7081,100,65.1596,40156
,1,0,1,6842.79,25.7639,100,65.5855,40157
,1,0,1,6857.7,25.82,100,66.0123,40158
,1,0,1,6869.35,25.8764,100,66.4402,40159
,1,0,1,6877.25,25.9331,100,66.8691,40160
,1,0,1,6883.42,25.9898,100,67.2989,40161
,1,0,1,6891.02,26.0462,100,67.7297,40162
,1,0,1,6902.27,26.1014,100,68.1614,40163
,1,0,1,6918.56,26.1551,100,68.5941,40164
,1,0,1,6939.19,26.2075,100,69.0277,40165
,1,0,1,6961.6,26.2588,100,69.4625,40166
,1,0,1,6983.77,26.3102,100,69.8983,40167
,1,0,1,7003.32,26.3626,100,70.3349,40168
,1,0,1,7018.54,26.4161,100,70.7724,40169
,1,0,1,7030,26.471,100,71.2108,40170
,1,0,1,7039.8,26.5263,100,71.6502,40171
,1,0,1,7050.19,26.5815,100,72.091,40172
,1,0,1,7061.88,26.6359,100,72.5341,40173
,1,0,1,7073.14,26.6897,100,72.9782,40174
,1,0,1,7082.95,26.7433,100,73.4232,40175
,1,0,1,7091.03,26.7969,100,73.8691,40176
,1,0,1,7099.7,26.8502,100,74.316,40177
,1,0,1,7112.89,26.902,100,74.7637,40178
,1,0,1,7133.9,26.9526,100,75.2122,40179
,1,0,1,7159.38,27.0015,100,75.6615,40180
,1,0,1,7185.25,27.0504,100,76.1117,40181
,1,0,1,7207.01,27.1008,100,76.5627,40182
,1,0,1,7221.36,27.1531,100,77.0145,40183
,1,0,1,7229.35,27.2071,100,77.4673,40184
,1,0,1,7236.1,27.2621,100,77.921,40185
,1,0,1,7245.05,27.3172,100,78.3755,40186
,1,0,1,7255.33,27.372,100,78.831,40187
,1,0,1,7264.97,27.4263,100,79.2873,40188
,1,0,1,7273.78,27.4807,100,79.7447,40189
,1,0,1,7150.36,27.5337,100,80.2029,40190
,1,0,1,6961.89,27.5735,100,80.6619,40191
,1,0,0,6861.36,27.5821,100,81.1214,40192
,1,0,0,6785.29,27.573,100,81.5807,40193
,1,0,0,6710.22,27.5627,100,82.0399,40194
,1,0,2,6636.18,27.5536,100,82.499,40195
,1,0,2,6236.29,27.6082,100,82.9583,40196
,1,0,2,5999.19,27.7154,100,83.4191,40197
,1,0,2,5816.59,27.8201,100,83.8817,40198
,1,0,2,5682.01,27.9165,100,84.3459,40199
,1,0,2,5623.57,27.9939,100,84.8116,40200
,1,0,2,5628.5,28.0507,100,85.2783,40201
,1,0,2,5661.35,28.0937,100,85.746,40202
,1,0,2,5696.29,28.1331,100,86.2143,40203
,1,0,2,5721,28.1742,100,86.6833,40204
,1,0,2,5735.27,28.2186,100,87.1529,40205
,1,0,2,5744.31,28.266,100,87.6233,40206
,1,0,2,5750.5,28.3148,100,88.0945,40207
,1,0,2,5754.57,28.3637,100,88.5665,40208
,1,0,2,5757.33,28.4125,100,89.0394,40209
,1,0,2,5760.29,28.4611,100,89.5131,40210
